target,model,feature_set,split_family,MAE,RMSE,R2,bias,median_abs_error,p90_abs_error,spearman,pearson,improvement_over_featureless_MAE,n_folds,n_test_rows,is_candidate_model,is_best_non_featureless_by_mae,model_card_interpretation
tmrt_p90_c,featureless_mean,physical_core,hour_holdout,8.683868109690348,9.284731720799922,-3.9025819923187903,1.5987211554602257e-15,8.143574075063068,10.08216378148397,,,0.0,5,1500,False,False,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,hist_gradient_boosting,physical_core,scenario_holdout,5.968588601089154,6.478851877271319,0.3762211498088887,-2.6362972915805466e-10,5.7185600352342085,10.268598084855864,0.4291266836781925,0.6139009923409791,1.3260825170749078,2,1500,False,True,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,extra_trees,physical_core,scenario_holdout,5.968602959187826,6.478964913371426,0.3761993844775228,-1.5126788710517758e-15,5.717989349365229,10.268481483459489,0.4290632155438233,0.6138839731391974,1.3260681589762364,2,1500,True,False,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,random_forest,physical_core,scenario_holdout,5.970948598856646,6.489096793551618,0.3742467707795737,-0.0097619047365371,5.608520458816486,10.263217374215476,0.4102732701229011,0.6122974663289176,1.3237225193074162,2,1500,False,False,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,elasticnet,physical_core,scenario_holdout,5.976997509557171,6.52431342992994,0.3674363989444705,-2.789435349370706e-15,5.603646090706036,10.220652502427573,0.3669297502842764,0.6066945939228636,1.3176736086068912,2,1500,False,False,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,ridge,physical_core,scenario_holdout,5.988814633560565,6.537703308858372,0.3648373278921978,3.3306690738754696e-16,5.646680097438615,10.21956691326248,0.3672225196600727,0.6045507042101547,1.3058564846034963,2,1500,False,False,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,featureless_mean,physical_core,scenario_holdout,7.294671118164063,8.205819380274418,-0.0006416513400632,-2.3592239273284576e-16,7.240831504821775,9.951142372131349,,,0.0,2,1500,False,False,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,extra_trees,physical_core,spatial_holdout,6.018625294736586,6.542886218886187,0.3384649173599918,-0.0919862585101646,5.757725987395744,10.093961732685564,0.3731912663890612,0.5740078149561605,1.2826760738819307,4,1500,True,True,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,random_forest,physical_core,spatial_holdout,6.035078818141056,6.5709146537909255,0.3337975000973189,-0.061984282629362,5.754867296522201,10.206135450854743,0.3671592556323115,0.570972795251723,1.2662225504774616,4,1500,False,False,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,hist_gradient_boosting,physical_core,spatial_holdout,6.073307817323206,6.622121364532383,0.3245117513898377,-0.1252236670309941,5.764250759548283,10.206091695605496,0.3558249953751994,0.564261441963176,1.227993551295311,4,1500,False,False,secondary_absolute_tmrt_diagnostic
