sensitivity_id,validation_method,event_target,official_event_threshold_c,companion_id,model_family,output_kind,diagnostic_only,operating_point,threshold_source,status,n_folds_evaluated,threshold,threshold_min,threshold_max,precision,recall,F1,CSI,false_alarm_ratio,miss_rate,TP,FP,FN,TN,n,fold_recall_std,fold_precision_std
no_s142_eval,blocked_time,ge31,31.0,wbgt_a_m4_score,M4_inertia_ridge,score,False,best_F1,train_selected,evaluated_on_heldout,5,29.869999999999997,29.25,30.4,0.4847328244274809,0.671957671957672,0.5631929046563193,0.39197530864197533,0.5152671755725191,0.328042328042328,127.0,135.0,62.0,1288.0,1612.0,0.24300922901641991,0.23267640771349893
no_s142_eval,blocked_time,ge31,31.0,wbgt_a_m4_score,M4_inertia_ridge,score,False,fixed_31,fixed,evaluated_on_heldout,5,31.0,31.0,31.0,0.6396396396396397,0.37566137566137564,0.4733333333333333,0.31004366812227074,0.36036036036036034,0.6243386243386243,71.0,40.0,118.0,1383.0,1612.0,0.21070236020709893,0.02603270223752152
no_s142_eval,blocked_time,ge31,31.0,wbgt_a_m4_score,M4_inertia_ridge,score,False,precision70,train_selected,evaluated_on_heldout,5,31.139999999999997,30.5,31.3,0.5,0.328042328042328,0.3961661341853035,0.24701195219123506,0.5,0.671957671957672,62.0,62.0,127.0,1361.0,1612.0,0.23285915873934887,0.06444906444906445
no_s142_eval,blocked_time,ge31,31.0,wbgt_a_m4_score,M4_inertia_ridge,score,False,recall90,train_selected,evaluated_on_heldout,5,29.35,29.25,29.45,0.47126436781609193,0.8677248677248677,0.6108007448789572,0.43967828418230565,0.5287356321839081,0.13227513227513227,164.0,184.0,25.0,1239.0,1612.0,0.3031223807837698,0.21901674933548332
no_s142_eval,station_grouped_loso,ge31,31.0,isotonic_m4_score_ge31,sklearn_isotonic_regression,probability,False,best_F1,train_selected,evaluated_on_heldout,26,0.44576923076923075,0.34,0.45,0.6666666666666666,0.783068783068783,0.7201946472019464,0.5627376425855514,0.3333333333333333,0.21693121693121692,148.0,74.0,41.0,1349.0,1612.0,0.13255657064931195,0.2705580099680514
no_s142_eval,station_grouped_loso,ge31,31.0,isotonic_m4_score_ge31,sklearn_isotonic_regression,probability,False,precision70,train_selected,evaluated_on_heldout,26,0.6696153846153847,0.66,0.67,0.696078431372549,0.37566137566137564,0.48797250859106533,0.32272727272727275,0.30392156862745096,0.6243386243386243,71.0,31.0,118.0,1392.0,1612.0,0.1778326604532054,0.3187283658590114
no_s142_eval,station_grouped_loso,ge31,31.0,isotonic_m4_score_ge31,sklearn_isotonic_regression,probability,False,recall90,train_selected,evaluated_on_heldout,26,0.21269230769230768,0.21,0.28,0.5294117647058824,0.9523809523809523,0.6805293005671077,0.5157593123209169,0.47058823529411764,0.047619047619047616,180.0,160.0,9.0,1263.0,1612.0,0.06704505256031422,0.2181064328763347
no_s142_eval,station_grouped_loso,ge31,31.0,logistic_P_ge31_safe_features,sklearn_logistic_regression,probability,False,best_F1,train_selected,evaluated_on_heldout,26,0.49,0.49,0.49,0.6839622641509434,0.7671957671957672,0.7231920199501248,0.56640625,0.3160377358490566,0.2328042328042328,145.0,67.0,44.0,1356.0,1612.0,0.15243174112926777,0.27179167776332314
no_s142_eval,station_grouped_loso,ge31,31.0,logistic_P_ge31_safe_features,sklearn_logistic_regression,probability,False,precision70,train_selected,evaluated_on_heldout,26,0.5392307692307692,0.49,0.57,0.679144385026738,0.671957671957672,0.6755319148936171,0.5100401606425703,0.32085561497326204,0.328042328042328,127.0,60.0,62.0,1363.0,1612.0,0.16110853700565927,0.2839855273490814
no_s142_eval,station_grouped_loso,ge31,31.0,logistic_P_ge31_safe_features,sklearn_logistic_regression,probability,False,recall90,train_selected,evaluated_on_heldout,26,0.1873076923076923,0.18,0.25,0.49137931034482757,0.9047619047619048,0.6368715083798883,0.4672131147540984,0.5086206896551724,0.09523809523809523,171.0,177.0,18.0,1246.0,1612.0,0.10504787449063398,0.21048277610420937
no_s142_eval,station_grouped_loso,ge31,31.0,m7_compact_weather_score,M7_compact_weather_ridge,score,False,best_F1,train_selected,evaluated_on_heldout,26,30.251923076923074,30.2,30.35,0.6007604562737643,0.8359788359788359,0.6991150442477876,0.5374149659863946,0.39923954372623577,0.164021164021164,158.0,105.0,31.0,1318.0,1612.0,0.11868807988182216,0.24723400714503244
no_s142_eval,station_grouped_loso,ge31,31.0,m7_compact_weather_score,M7_compact_weather_ridge,score,False,fixed_31,fixed,evaluated_on_heldout,26,31.0,31.0,31.0,0.7115384615384616,0.5873015873015873,0.6434782608695652,0.47435897435897434,0.28846153846153844,0.4126984126984127,111.0,45.0,78.0,1378.0,1612.0,0.12238842922616536,0.2984640082764451
no_s142_eval,station_grouped_loso,ge31,31.0,m7_compact_weather_score,M7_compact_weather_ridge,score,False,precision70,train_selected,evaluated_on_heldout,26,30.948076923076922,30.8,31.0,0.7025316455696202,0.5873015873015873,0.6397694524495677,0.4703389830508475,0.2974683544303797,0.4126984126984127,111.0,47.0,78.0,1376.0,1612.0,0.12238842922616536,0.304192997941685
