model,split_type,hour_sgt_numeric,n,bias_pred_minus_obs,mae,official_wbgt_mean,pred_wbgt_mean
M1b_period_bias,apparent,13.75,27,-0.40610795764101965,0.7856431903890814,31.0,30.593892042358977
M1b_period_bias,apparent,14.0,27,0.13261844709246728,1.004977085183912,30.62962962962963,30.7622480767221
M1b_period_bias,apparent,14.25,27,-0.064505271986092,0.9786104510105771,30.56666666666667,30.502161394680574
M1b_period_bias,apparent,14.5,27,-0.34220472987212036,0.9288868912066682,30.633333333333333,30.291128603461217
M1b_period_bias,apparent,14.75,26,-0.6675717866965082,0.9693344280059376,30.765384615384615,30.097812828688106
M1b_period_bias,apparent,15.0,27,-1.056680791812401,1.328225552830139,30.955555555555552,29.898874763743155
M1b_period_bias,apparent,15.25,27,-1.4769563259415084,1.6220646858036611,31.3037037037037,29.826747377762196
M1b_period_bias,apparent,15.5,27,-1.6387784190703305,1.755522944439905,31.392592592592592,29.75381417352226
M1b_period_bias,apparent,15.75,27,-1.4089047972693196,1.556362575123847,31.08888888888889,29.67998409161957
M1b_period_bias,apparent,16.0,27,-1.217060030104397,1.380998619909214,30.82222222222222,29.605162192117827
M1b_period_bias,apparent,16.25,27,-0.7748012739969495,1.030552591050965,30.4037037037037,29.628902429706756
M1b_period_bias,apparent,16.5,27,-0.3395739629910708,0.9364172317341966,29.992592592592594,29.653018629601526
M1b_period_bias,apparent,16.75,27,0.08848557168165712,0.8754741510707421,29.58888888888889,29.677374460570544
M1b_period_bias,apparent,17.0,27,0.8685284749374523,1.031049003878795,28.833333333333332,29.701861808270788
M1b_period_bias,apparent,17.25,27,1.5359222449394556,1.5364303328255577,28.15555555555555,29.691477800495015
M1b_period_bias,apparent,17.5,27,1.9551738620211683,1.9551738620211683,27.72592592592593,29.681099787947094
M1b_period_bias,apparent,17.75,27,2.3190213313605246,2.3190213313605246,27.35185185185185,29.670873183212375
M1b_period_bias,apparent,18.0,27,-0.08165122694387776,0.4889202024775223,27.088888888888892,27.007237661945013
M1b_period_bias,apparent,18.25,27,0.05594995337122778,0.43224730813844503,26.911111111111108,26.967061064482337
M1b_period_bias,apparent,18.5,27,0.24478883784934774,0.4404636960211948,26.677777777777774,26.922566615627122
