cell_id,hazard_score_v08,rank_v08_hazard_score,hazard_score_v10,rank_v10_hazard_score,rank_change_v08_minus_v10,is_old_dsm_gap_false_positive_candidate
TP_0450,0.4560039441528357,389.0,0.4763985901318939,371.0,18.0,False
TP_0475,0.3475968887830888,548.0,0.3554617386467698,541.0,7.0,False
TP_0854,0.3907866779487504,493.0,0.2894381120056305,647.0,-154.0,False
TP_0414,0.3166379653256063,600.0,0.3164330219508779,601.0,-1.0,False
TP_0286,0.4880296443773909,343.0,0.5865542279228994,204.0,139.0,False
TP_0261,0.3927855088079328,486.0,0.4089743720463484,472.0,14.0,False
TP_0115,0.5319915426716565,272.0,0.5226846113219041,296.0,-24.0,False
TP_0659,0.6376775201383316,128.0,0.6336397574822079,134.0,-6.0,False
TP_0219,0.4663641311043526,374.0,0.5212845732971431,302.0,72.0,False
TP_0628,0.3300598781712758,575.0,0.4000600689285759,485.0,90.0,False
TP_0240,0.3501073591518834,541.0,0.3585821176051454,538.0,3.0,False
TP_0365,0.3561654074323055,532.0,0.365317010344397,526.0,6.0,False
TP_0002,0.3496284628567234,543.0,0.3520619470802976,549.0,-6.0,False
TP_0201,0.5969090601931365,183.0,0.6248412379204104,152.0,31.0,False
TP_0195,0.4488162039630577,395.0,0.4800660788833573,367.0,28.0,False
TP_0559,0.4630327922347219,378.0,0.4454167458206783,416.0,-38.0,False
TP_0701,0.3213395596174575,593.0,0.3515242306580435,550.0,43.0,False
TP_0014,0.3994376343905653,475.0,0.3391156188295957,568.0,-93.0,False
TP_0624,0.3985635387002032,478.0,0.4242634762762018,448.0,30.0,False
TP_0451,0.373460632763362,512.0,0.3623112790403766,530.0,-18.0,False
TP_0392,0.4187437159532101,446.0,0.4476566816404736,411.0,35.0,False
TP_0446,0.4455888746085101,401.0,0.4470576389922139,413.0,-12.0,False
TP_0591,0.4186723529515537,447.0,0.4316733383173718,434.0,13.0,False
TP_0818,0.360757010950946,525.0,0.2964729754669048,634.0,-109.0,False
TP_0748,0.5238033037059294,285.0,0.509147249365384,319.0,-34.0,False
TP_0363,0.3018571791757716,620.0,0.3034215276244117,620.0,0.0,False
TP_0403,0.323922531846721,588.0,0.3331811479644854,578.0,10.0,False
TP_0587,0.4281517393644353,427.0,0.4416587736184719,421.0,6.0,False
TP_0069,0.3363445299464772,568.0,0.2337730932961502,731.0,-163.0,False
TP_0297,0.4400450133271436,407.0,0.5151481212977844,312.0,95.0,False
TP_0765,0.4416842081122502,405.0,0.4210612655605345,453.0,-48.0,False
TP_0738,0.437787056928798,413.0,0.5016147629206745,329.0,84.0,False
TP_0032,0.4447605307526791,403.0,0.4343215577939759,429.0,-26.0,False
TP_0455,0.3062168593972826,612.0,0.308623535598086,614.0,-2.0,False
TP_0312,0.4641581870738931,377.0,0.431061372099614,438.0,-61.0,False
TP_0100,0.3929681520145612,485.0,0.42089828021559,456.0,29.0,False
TP_0167,0.4076818504619807,458.0,0.4540697662776134,402.0,56.0,False
TP_0690,0.485976383842043,352.0,0.4908320079110106,353.0,-1.0,False
TP_0386,0.3815691009794139,503.0,0.3226934971032382,592.0,-89.0,False
TP_0329,0.4343699731792297,418.0,0.4407943317007465,422.0,-4.0,False
TP_0968,0.3831160864462808,500.0,0.4165803678183525,465.0,35.0,False
TP_0071,0.3097838314153797,608.0,0.2914911180724467,645.0,-37.0,False
TP_0412,0.4025062125033222,469.0,0.4166382398931236,462.0,7.0,False
TP_0273,0.4573298058938261,386.0,0.4804507507489092,365.0,21.0,False
TP_0327,0.3088860492181953,610.0,0.3077046230259093,615.0,-5.0,False
TP_0215,0.4299136686057172,423.0,0.5177204109300202,310.0,113.0,False
TP_0948,0.4199026938265846,443.0,0.4427114491058174,419.0,24.0,False
TP_0205,0.4297061168005696,425.0,0.4237686029754122,449.0,-24.0,False
TP_0076,0.3650579247583918,519.0,0.3595353156142962,536.0,-17.0,False
TP_0470,0.3274200215391113,578.0,0.3535547070959063,546.0,32.0,False
TP_0874,0.2959460549087403,628.0,0.2657181763184907,690.0,-62.0,False
TP_0203,0.5764857920894502,209.0,0.6008324397134523,180.0,29.0,False
TP_0600,0.4270636139970434,431.0,0.521852891728058,300.0,131.0,False
TP_0007,0.3344615301816133,570.0,0.3620057202755105,531.0,39.0,False
TP_0346,0.3757045851084146,510.0,0.4048534396384213,478.0,32.0,False
TP_0415,0.338058295690898,567.0,0.3627297211991855,529.0,38.0,False
TP_0710,0.3352268652761394,569.0,0.3498322357595284,553.0,16.0,False
TP_0769,0.4225743160505668,437.0,0.462211953438242,388.0,49.0,False
TP_0486,0.4362012036826327,414.0,0.3877133412551483,500.0,-86.0,False
TP_0307,0.4209759719247583,439.0,0.4619157270057937,390.0,49.0,False
TP_0164,0.420480728150468,441.0,0.4650919243494725,382.0,59.0,False
TP_0288,0.5493292597662108,245.0,0.5728736631808118,224.0,21.0,False
TP_0047,0.2789351231896183,660.0,0.2724218721260709,677.0,-17.0,False
TP_0643,0.6048250130255439,172.0,0.6466531572701412,114.0,58.0,False
TP_0170,0.393515652987204,482.0,0.4043179626608555,479.0,3.0,False
TP_0601,0.601258538250386,175.0,0.6527255080002393,102.0,73.0,False
TP_0291,0.4379136467846243,412.0,0.4975050658518103,339.0,73.0,False
TP_0872,0.4244124298485582,433.0,0.4123573712931123,469.0,-36.0,False
TP_0466,0.2967788887610047,626.0,0.3051694776261788,617.0,9.0,False
TP_0838,0.4228795418307761,436.0,0.4166125177722493,463.0,-27.0,False
TP_0241,0.4188651378921122,445.0,0.4259486626425922,445.0,0.0,False
TP_0703,0.5981741220923569,181.0,0.563889664453018,237.0,-56.0,False
TP_0495,0.3269624837035701,579.0,0.3493241337858731,554.0,25.0,False
TP_0319,0.324705652362782,586.0,0.3548101005992671,544.0,42.0,False
TP_0642,0.5967924714432364,184.0,0.6548992093170541,99.0,85.0,False
TP_0503,0.4738615500786642,366.0,0.5012304695912391,330.0,36.0,False
TP_0533,0.3449431558342337,554.0,0.3462113676601757,559.0,-5.0,False
TP_0009,0.305260588500555,613.0,0.2703101027361037,681.0,-68.0,False
TP_0871,0.358041601793952,528.0,0.3034430547261894,619.0,-91.0,False
TP_0814,0.4086386925394163,457.0,0.4381850193805612,427.0,30.0,False
TP_0173,0.539008403385892,258.0,0.5640474773715946,235.0,23.0,False
TP_0805,0.554142325557709,240.0,0.4983245214712047,337.0,-97.0,False
TP_0204,0.4071866796754275,459.0,0.4657864314143926,381.0,78.0,False
TP_0194,0.4062389675538174,463.0,0.4625597207157248,386.0,77.0,False
TP_0356,0.458964977522131,385.0,0.4463046678926813,414.0,-29.0,False
TP_0068,0.348167113950572,547.0,0.1949524536105247,790.0,-243.0,False
TP_0976,0.398334064966362,479.0,0.4168361323461245,461.0,18.0,False
TP_0535,0.3433329384165978,557.0,0.3351195846483818,574.0,-17.0,False
TP_0324,0.295904938615517,629.0,0.2994921783753292,629.0,0.0,False
TP_0963,0.3541021175948136,536.0,0.4056756901836037,477.0,59.0,False
