prediction_source,validation_scheme,dataset_label,target_col,model,event_target,official_event_threshold_c,score_threshold_c,TP,FP,TN,FN,precision,recall,F1,specificity,false_alarm_ratio,miss_rate,critical_success_index,predicted_positive_count,official_positive_count,youden_J
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,32.9,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,33.0,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,33.1,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,33.2,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,33.3,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,33.4,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,33.5,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,33.6,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,33.7,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,33.8,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,33.9,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
