scenario,hour,metric_a,metric_b,spearman_r,n_cells,emphasis_pair
overhead_as_canopy,12,tmrt_p95_c,pct_pixels_tmrt_ge_40,0.7866927778927327,24,False
overhead_as_canopy,12,tmrt_p95_c,pct_pixels_tmrt_ge_45,0.7988693383023494,24,False
overhead_as_canopy,12,tmrt_p95_c,pct_pixels_tmrt_ge_50,0.7988693383023494,24,False
overhead_as_canopy,12,tmrt_p95_c,pct_pixels_tmrt_ge_55,0.7988693383023494,24,False
overhead_as_canopy,12,tmrt_max_c,pct_pixels_tmrt_ge_40,0.6205697037329628,24,False
overhead_as_canopy,12,tmrt_max_c,pct_pixels_tmrt_ge_45,0.6440530702372235,24,False
overhead_as_canopy,12,tmrt_max_c,pct_pixels_tmrt_ge_50,0.6440530702372235,24,False
overhead_as_canopy,12,tmrt_max_c,pct_pixels_tmrt_ge_55,0.6440530702372235,24,False
overhead_as_canopy,12,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_45,0.9852109612875163,24,False
overhead_as_canopy,12,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_50,0.9852109612875163,24,False
overhead_as_canopy,12,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_55,0.9852109612875163,24,False
overhead_as_canopy,12,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_50,1.0,24,False
overhead_as_canopy,12,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_55,1.0,24,False
overhead_as_canopy,12,pct_pixels_tmrt_ge_50,pct_pixels_tmrt_ge_55,1.0,24,False
overhead_as_canopy,13,tmrt_mean_c,tmrt_p50_c,0.9643478260869565,24,False
overhead_as_canopy,13,tmrt_mean_c,tmrt_p75_c,0.9860869565217389,24,False
