prediction_source,dataset_label,target_col,ablation_model,station_id,n,MAE,bias,official_ge_31_count,official_ge_33_count,fixed_31_recall,fixed_31_F1,residual_p90,residual_mean_high_tail
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S125,388,1.0336798305223218,0.44741711166971315,52,1,0.4807692307692308,0.6097560975609756,1.8477796647925342,1.25804542253931
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S141,388,1.0216509904271032,0.2589572952551435,53,6,0.22641509433962265,0.35294117647058826,1.925234403562978,1.8249457920365042
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S187,388,1.0158514068214262,-0.1180296268695506,47,1,0.2127659574468085,0.3448275862068965,1.5519672155779294,1.4789192871952876
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S147,388,0.9834836828823313,-0.07185697948118064,55,4,0.14545454545454545,0.25396825396825395,1.5659700197756956,1.7805928544633927
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S150,388,0.9572575115769978,-0.27155823465490536,34,1,0.29411764705882354,0.4347826086956522,1.4023682709829395,1.2550929343403514
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S149,388,0.9394594905124399,-0.4949468419326739,31,0,0.22580645161290322,0.3333333333333333,0.77793535760651,1.0411297948038065
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S143,388,0.9346336080644023,0.1431051735052474,54,6,0.3888888888888889,0.5060240963855421,1.4877851603771957,1.2010751162386202
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S132,388,0.9310724198685303,0.3490835980723727,45,2,0.37777777777777777,0.523076923076923,1.6375006306231792,1.085778893163739
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S151,388,0.9280460103966309,-0.1970039622234222,58,3,0.27586206896551724,0.42105263157894735,1.2370142856380373,1.3419203059444476
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S127,388,0.9251751210361852,0.22315544943167337,56,2,0.16071428571428573,0.27692307692307694,1.7422295912371,1.5612289448487877
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S126,388,0.9062508376481312,-0.06298112058035775,38,1,0.3157894736842105,0.42105263157894735,1.5170200629158628,1.3808355678716548
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S144,388,0.8999382370263278,0.05736903655254632,44,5,0.18181818181818182,0.3018867924528302,1.4688162362688209,1.6589774374859703
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S146,388,0.8916616524488182,-0.3273271744470984,29,0,0.5517241379310345,0.6530612244897959,0.976611091283722,0.7662021218207576
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S140,388,0.8843265697335164,-0.24292101578928252,27,0,0.5185185185185185,0.6086956521739131,1.1092562691482717,0.5468215881664781
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S180,388,0.8791072654855492,-0.11354008164265014,47,1,0.3191489361702128,0.4545454545454545,1.314092864876788,1.0577439958435102
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S184,388,0.8765409619314194,-0.0783096718852094,36,2,0.3055555555555556,0.41509433962264153,1.1747748001780522,1.4528181043075095
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S148,388,0.8648315734954436,-0.48585422538189943,21,0,0.23809523809523808,0.31249999999999994,0.6888267428709312,0.8177756583489039
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S145,388,0.8565516024704617,-0.018041618817784665,48,3,0.4375,0.6,1.352652786979401,1.2342970645548077
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S130,388,0.8312325499547515,0.23231694855320392,32,0,0.25,0.36363636363636365,1.5131962163643549,1.023941401588763
