cell_id,tree_building_overlap_proxy,tree_near_tall_building_frac,interaction_method,feature_version
TP_0892,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0893,0.022540426529401667,0.0298153790068484,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0899,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0901,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0908,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0915,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0917,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0923,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0925,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0929,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0933,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0934,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0936,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0939,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0943,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0944,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0945,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0946,0.08005333954634397,0.027440587138863,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0947,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0948,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0954,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0960,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0963,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0967,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0968,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0969,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0972,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0973,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0974,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0978,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0983,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0984,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0985,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0986,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
