cell_id,overhead_patch_count,overhead_total_area_m2,overhead_mean_patch_area_m2,overhead_edge_density,overhead_total_area_proxy,overhead_shape_source_status,feature_version
TP_0346,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0349,3.0,347.53674394275123,115.84558131425041,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0355,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0359,3.0,113.95592413162436,37.98530804387479,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0361,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0365,2.0,612.92450557279,306.462252786395,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0366,2.0,103.91666634070285,51.95833317035142,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0371,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0372,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0373,1.0,1400.3795757853725,1400.3795757853725,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0378,3.0,376.4542021095156,125.4847340365052,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0379,3.0,474.7035903339212,158.23453011130707,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0380,1.0,79.20593941411171,79.20593941411171,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0381,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0383,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0403,2.0,208.9346781498197,104.46733907490984,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0406,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0407,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0409,11.0,1132.009692278494,102.90997202531763,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0410,8.0,710.2035767965681,88.77544709957101,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0412,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0418,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0430,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0431,9.0,5922.18570012294,658.0206333469933,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0433,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0438,6.0,592.9096403134618,98.81827338557696,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0448,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0454,1.0,300.0100004252084,300.0100004252084,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0458,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0460,5.0,3410.9580489465347,682.191609789307,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0464,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0465,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0467,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0475,2.0,612.7605404536847,306.38027022684236,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0489,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0492,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0495,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0498,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
