cell_id,forcing_day_id,date,hour_sgt,scenario,tmrt_mean_c,tmrt_p50_c,tmrt_p90_c,tmrt_p95_c,tmrt_max_c,valid_pixel_count,nodata_fraction,sanity_status
TP_0154,FD01_high_shortwave_hot_20260507,2026-05-07,16,overhead_as_canopy,37.699660,34.888447,47.290162,49.102465,51.748653,22500,0.000000,PASS
TP_0154,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,10,base,27.292804,27.376986,27.840099,28.029604,29.003262,22500,0.000000,PASS
TP_0154,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,10,overhead_as_canopy,27.319617,27.376986,27.835406,28.016868,29.003262,22500,0.000000,PASS
TP_0154,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,12,base,38.533484,34.925625,49.620343,50.869369,53.398117,22500,0.000000,PASS
TP_0154,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,12,overhead_as_canopy,38.240952,34.872971,49.403434,50.839756,53.398117,22500,0.000000,PASS
TP_0154,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,13,base,41.382798,36.901558,55.434368,56.853047,59.484928,22500,0.000000,PASS
TP_0154,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,13,overhead_as_canopy,41.043058,36.839464,55.146954,56.839652,59.484928,22500,0.000000,PASS
TP_0154,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,15,base,34.907504,32.904322,40.816335,41.971343,44.311218,22500,0.000000,PASS
TP_0154,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,15,overhead_as_canopy,34.729323,32.877733,40.553493,41.946323,44.311218,22500,0.000000,PASS
TP_0154,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,16,base,35.798970,33.277630,43.789148,45.099008,47.573586,22500,0.000000,PASS
TP_0154,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,16,overhead_as_canopy,35.565315,33.250221,43.457317,45.085326,47.573586,22500,0.000000,PASS
TP_0254,FD01_high_shortwave_hot_20260507,2026-05-07,10,base,37.094297,33.581728,44.790166,45.895966,46.630436,22500,0.000000,PASS
TP_0254,FD01_high_shortwave_hot_20260507,2026-05-07,10,overhead_as_canopy,36.896316,33.503094,44.678252,45.867407,46.592522,22500,0.000000,PASS
TP_0254,FD01_high_shortwave_hot_20260507,2026-05-07,12,base,47.524185,40.477823,61.558836,61.983107,62.361271,22500,0.000000,PASS
TP_0254,FD01_high_shortwave_hot_20260507,2026-05-07,12,overhead_as_canopy,47.247324,40.198414,61.503662,61.953762,62.361271,22500,0.000000,PASS
TP_0254,FD01_high_shortwave_hot_20260507,2026-05-07,13,base,47.755384,41.168726,61.241919,62.107281,62.623734,22500,0.000000,PASS
TP_0254,FD01_high_shortwave_hot_20260507,2026-05-07,13,overhead_as_canopy,47.497381,40.825085,61.192155,62.068817,62.588783,22500,0.000000,PASS
TP_0254,FD01_high_shortwave_hot_20260507,2026-05-07,15,base,45.561589,39.431423,59.171728,60.190322,60.864807,22500,0.000000,PASS
TP_0254,FD01_high_shortwave_hot_20260507,2026-05-07,15,overhead_as_canopy,45.335646,38.954060,59.081296,60.156754,60.818916,22500,0.000000,PASS
TP_0254,FD01_high_shortwave_hot_20260507,2026-05-07,16,base,40.150334,36.079313,50.002834,51.120865,51.878361,22500,0.000000,PASS
TP_0254,FD01_high_shortwave_hot_20260507,2026-05-07,16,overhead_as_canopy,40.007597,35.746294,49.895549,51.094048,51.832363,22500,0.000000,PASS
TP_0254,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,10,base,27.154381,27.335314,28.056223,28.353383,29.881397,22500,0.000000,PASS
TP_0254,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,10,overhead_as_canopy,27.154287,27.334922,28.052699,28.341806,29.881397,22500,0.000000,PASS
TP_0254,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,12,base,41.500353,36.970894,51.490852,52.666901,53.526802,22500,0.000000,PASS
TP_0254,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,12,overhead_as_canopy,41.302979,36.767656,51.395057,52.618839,53.480007,22500,0.000000,PASS
TP_0254,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,13,base,45.548937,40.016855,57.556513,58.798042,59.614689,22500,0.000000,PASS
TP_0254,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,13,overhead_as_canopy,45.316209,39.622187,57.492792,58.763318,59.568096,22500,0.000000,PASS
TP_0254,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,15,base,36.394766,33.694279,42.511966,43.619991,44.435410,22500,0.000000,PASS
TP_0254,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,15,overhead_as_canopy,36.299643,33.501734,42.431150,43.584980,44.390499,22500,0.000000,PASS
TP_0254,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,16,base,37.578036,34.084595,45.875230,46.960423,47.696587,22500,0.000000,PASS
TP_0254,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,16,overhead_as_canopy,37.461065,33.845598,45.782719,46.926514,47.652649,22500,0.000000,PASS
TP_0301,FD01_high_shortwave_hot_20260507,2026-05-07,10,base,38.054749,33.999319,46.389160,46.631599,46.631599,22500,0.000000,PASS
TP_0301,FD01_high_shortwave_hot_20260507,2026-05-07,10,overhead_as_canopy,38.051237,33.998705,46.389160,46.631599,46.631599,22500,0.000000,PASS
TP_0301,FD01_high_shortwave_hot_20260507,2026-05-07,12,base,51.266750,59.165897,62.268990,62.346355,62.778629,22500,0.000000,PASS
TP_0301,FD01_high_shortwave_hot_20260507,2026-05-07,12,overhead_as_canopy,51.263349,59.162422,62.268990,62.346355,62.778629,22500,0.000000,PASS
TP_0301,FD01_high_shortwave_hot_20260507,2026-05-07,13,base,51.645432,58.356714,62.493675,62.623623,62.623623,22500,0.000000,PASS
TP_0301,FD01_high_shortwave_hot_20260507,2026-05-07,13,overhead_as_canopy,51.642832,58.354841,62.493675,62.623623,62.623623,22500,0.000000,PASS
TP_0301,FD01_high_shortwave_hot_20260507,2026-05-07,15,base,47.248265,41.392668,60.633163,60.863190,60.863190,22500,0.000000,PASS
TP_0301,FD01_high_shortwave_hot_20260507,2026-05-07,15,overhead_as_canopy,47.246882,41.392668,60.633163,60.863190,60.863190,22500,0.000000,PASS
